Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,Entrepreneur Names,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Loan,Deal Has Conditions,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Mentoring,Invested Shark Names
4,AgênciaHangover,4,196,28-Jun-2019,18-Oct-2019,19-Jul-2019,,,,,,,,,,,,,,,,,,
4,DriveMeSafe,4,197,28-Jun-2019,18-Oct-2019,19-Jul-2019,,,,,,,,,,,,,,,,,,
4,Pança's,5,198,28-Jun-2019,18-Oct-2019,26-Jul-2019,,,,,,,,,,,,,,,,,,
4,Vih!Kombucha,5,199,28-Jun-2019,18-Oct-2019,26-Jul-2019,,,,,,,,,,,,,,,,,,
4,UniversodoCaminhão,5,200,28-Jun-2019,18-Oct-2019,26-Jul-2019,,,,,,,,,,,,,,,,,,
4,SimplificaSaúde,5,201,28-Jun-2019,18-Oct-2019,26-Jul-2019,,,,,,,,,,,,,,,,,,
4,ConfeitariadaLuana,6,202,28-Jun-2019,18-Oct-2019,2-Aug-2019,,,,,,,,,,,,,,,,,,
4,PurePilates,6,203,28-Jun-2019,18-Oct-2019,2-Aug-2019,,,,,,,,,,,,,,,,,,
4,EscoladeRobótica,6,204,28-Jun-2019,18-Oct-2019,2-Aug-2019,,,,,,,,,,,,,,,,,,
4,JamesTip,6,205,28-Jun-2019,18-Oct-2019,2-Aug-2019,,,,,,,,,,,,,,,,,,
4,Akokorô,7,206,28-Jun-2019,18-Oct-2019,9-Aug-2019,,,,,,,,,,,,,,,,,,
4,Tensei,7,207,28-Jun-2019,18-Oct-2019,9-Aug-2019,,,,,,,,,,,,,,,,,,
4,FazendaRentável,7,208,28-Jun-2019,18-Oct-2019,9-Aug-2019,,,,,,,,,,,,,,,,,,
4,Tindin,7,209,28-Jun-2019,18-Oct-2019,9-Aug-2019,,,,,,,,,,,,,,,,,,
4,BlindadoAcademy,8,210,28-Jun-2019,18-Oct-2019,16-Aug-2019,Beauty/Fashion,Hairstyle,,,,,,,,,,,,,,,,
4,Tinbot,8,211,28-Jun-2019,18-Oct-2019,16-Aug-2019,,,,,,,,,,,,,,,,,,
4,Nuwa,8,212,28-Jun-2019,18-Oct-2019,16-Aug-2019,,,,,,,,,,,,,,,,,,
4,CatMyPet,8,213,28-Jun-2019,18-Oct-2019,16-Aug-2019,Pet Products,,,,,,,,,,,,,,,,,
4,Egueiras,9,214,28-Jun-2019,18-Oct-2019,23-Aug-2019,,,,,,,,,,,,,,,,,,
4,Liomeal,9,215,28-Jun-2019,18-Oct-2019,23-Aug-2019,,,,,,,,,,,,,,,,,,
4,CyonCamaOdontológica,9,216,28-Jun-2019,18-Oct-2019,23-Aug-2019,,,,,,,,,,,,,,,,,,
4,Aulife,9,217,28-Jun-2019,18-Oct-2019,23-Aug-2019,,,,,,,,,,,,,,,,,,
4,AqualuzCamarão,10,218,28-Jun-2019,18-Oct-2019,30-Aug-2019,,,,,,,,,,,,,,,,,,
4,Wecare,10,219,28-Jun-2019,18-Oct-2019,30-Aug-2019,,,,,,,,,,,,,,,,,,
4,Tucupi,10,220,28-Jun-2019,18-Oct-2019,30-Aug-2019,,,,,,,,,,,,,,,,,,
4,TranslongPet,10,221,28-Jun-2019,18-Oct-2019,30-Aug-2019,Pet Products,,,,,,,,,,,,,,,,,
